counterstatepcrdaddrrdatacrdatahrdatalwrenwraddrwdatacwdatahwdatal	     	  	      	      	        	        	    	      	      	        	        
counter	state	pc	rdaddr	rdatac	rdatah		rdatal		wren	wraddr	wdatac	wdatah		wdatal
 52	3	51	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 53	3	52	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 54	3	53	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 55	3	54	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 56	3	55	0f	00	2e303032	312c2052	 0	0f	00	1f000000	00000000
 57	3	56	00	00	c4000200	00000000	 0	00	00	00000000	00000000
 58	3	57	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 59	3	58	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 5a	3	59	43	00	2e303032	312c2052	 1	43	00	22030800	ff821d0f
 5b	3	5a	00	00	22030800	ff821d0f	 0	00	00	00000000	00000000
 5c	3	5b	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 5d	3	5c	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 5e	3	5d	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 5f	3	5e	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 60	3	1b	01	00	2e303032	312c2052	 0	01	00	ffffffff	fffffdfe
 61	3	1c	00	00	4f4d204b	2e31352e	 0	00	00	00000000	00000000
 62	3	1d	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 63	3	1e	00	00	2e303032	312c2052	 0	00	00	00000000	00000000
 64	3	1f	00	00	2e303032	312c2052	 0	00	00	00000000	00000001
 65	2	20	3e	00	2e303032	312c2052	 0	4c	40	36371c88	ee000000
 66	2	21	3f	ff	0080000d	00060062	 0	4c	40	36371c88	ee000000
 67	2	22	40	00	004e4632	4303a036	 0	4c	40	36371c88	ee000000
 68	2	23	41	00	9f09294e	08004500	 0	4c	40	36371c88	ee000000
 69	2	24	42	00	0054adce	40004001	 0	4c	40	36371c88	ee000000
 6a	2	04	43	00	75d30a01	00030a01	 0	4c	40	36371c88	ee000000
 6b	2	05	44	00	22030800	ff821d0f	 0	4c	40	36371c88	ee000000
 6c	2	06	45	00	0004664a	33640000	 0	4c	40	36371c88	ee000000
 6d	2	07	46	00	000080e8	02000000	 0	4c	40	36371c88	ee000000
 6e	2	08	47	00	00001011	12131415	 0	4c	40	36371c88	ee000000
 6f	2	09	48	00	16171819	1a1b1c1d	 0	4c	40	36371c88	ee000000
 70	2	0a	49	00	1e1f2021	22232425	 0	4c	40	36371c88	ee000000
 71	2	04	4a	00	26272829	2a2b2c2d	 0	4c	40	36371c88	ee000000
 72	2	05	4b	00	2e2f3031	32333435	 0	4c	40	36371c88	ee000000
 73	2	06	4c	40	36371c88	ee000000	 0	4c	40	36371c88	ee000000
